galaxy_name,n_points,rms_log_tpg,weighted_rms_log_tpg,mean_log_residual_tpg,outer_mean_log_residual_tpg,min_radius_kpc,max_radius_kpc,mean_err_vobs_kms
NGC2998,13,0.2823492749298233,0.06589686017845635,0.13730700787559103,-0.03897961758609573,0.33,42.28,8.76923076923077
NGC3109,25,0.17587234171290073,0.1276712569271377,0.1284165505065754,0.24323203399945445,0.26,6.45,2.752
NGC3198,43,0.15622471827065462,0.02257788397169178,-0.050659144165092145,-0.0055762312095928935,0.32,44.08,5.043023255813953
NGC3521,41,0.03581668915593801,0.04322182962478045,0.017857725312504798,0.027976993588562548,0.51,17.74,13.492439024390247
NGC3726,12,0.15244827935579044,0.16233523946119086,-0.12892545113701281,-0.03941087249778426,3.5,32.52,6.870833333333334
NGC3741,21,0.2044178436698662,0.1985342284161903,0.13772273024649115,0.26488897319096355,0.23,7.0,2.3019047619047623
NGC3769,12,0.10067396955043743,0.09153428992103506,-0.06902011145594833,0.0005010208994328507,1.74,37.16,7.800000000000001
NGC3877,13,0.25387613985360946,0.1853811081373492,-0.11272752230192233,-0.13219399225888417,0.87,11.35,6.376923076923077
NGC3893,10,0.04334418589349851,0.04561462267518684,0.01632989001789794,0.02404515732636036,1.74,19.05,8.459999999999999
NGC3917,17,0.1435992820003397,0.1459637045592662,-0.00889462959112965,0.004613324394246285,0.87,14.86,4.211764705882352
NGC3949,7,0.05749185848821877,0.06536726108773577,-0.040834023696075125,-0.0032347020597768526,1.74,7.07,9.9
NGC3953,8,0.051392332808949344,0.04950627064794719,0.011070613908456255,-0.0422404376752879,3.5,15.68,6.65
NGC3972,10,0.10166615298086552,0.09799160786312039,0.03335417569812013,0.05122020059606987,0.87,8.72,5.01
NGC3992,9,0.09087628038989613,0.08664079258364318,0.07507806514156817,0.04727030927256426,9.19,46.02,6.4222222222222225
NGC4010,12,0.13292126052942171,0.11860328664089867,-0.08492966879504167,-0.020720861763987304,0.87,10.47,5.458333333333335
NGC4013,36,0.0674960114968144,0.06690964646769523,-0.03746562292767801,0.02441366167801984,5.49,31.01,5.694444444444445
NGC4051,7,0.1410442095562745,0.14113565817506143,-0.12836542396349018,-0.1898555674210974,1.74,12.19,8.371428571428572
NGC4068,6,0.49984193509959274,0.40003148678470263,-0.4367344827547879,-0.21587047941602722,0.21,2.33,2.9866666666666664
NGC4085,7,0.28410930391972655,0.2362007945812051,-0.2055662328127667,-0.09253358608580468,0.87,6.2,5.871428571428571
NGC4088,12,0.21721397165560052,0.2176873171794884,-0.21230964338618333,-0.19170906145287608,1.74,21.48,7.508333333333333
NGC4100,24,0.06648998276425866,0.0653310310599176,0.042201130072219435,-0.0037210936594580324,2.61,22.76,6.270833333333333
NGC4138,7,0.054860375822555846,0.07067868911093145,-0.00015482620945893075,-0.03417001270822538,2.61,18.58,14.314285714285715
NGC4157,17,0.116673835177232,0.11296227442435143,-0.10137351612637964,-0.049899221502169834,1.74,29.61,8.52941176470588
NGC4183,23,0.06779379362204273,0.06892587948974359,-0.004924042088494829,-0.04143395190242853,0.87,21.02,5.960869565217393
NGC4214,14,0.2891178571980579,0.2586571121157544,0.26196967095787893,0.32148103345529055,0.21,5.63,6.63357142857143
NGC4217,19,0.3596054008630643,0.3254621945327624,-0.2647877114489128,-0.11232492279111617,0.87,16.72,7.1078947368421055
NGC4389,6,0.6066849847657739,0.6378066841045625,-0.5570056912314951,-0.3266879057413584,0.87,5.32,6.583333333333333
NGC4559,32,0.1339343366772832,0.12188316903564113,-0.13009801754667558,-0.12189298623593117,0.67,20.97,5.450312500000001
NGC5005,18,0.05066329059977805,0.06019076378769548,-0.02127957783854331,0.01878349876160547,0.49,11.47,21.23722222222222
NGC5033,22,0.06848435587655478,0.05686533267128068,0.013731434280265397,0.01813096624236553,0.76,44.59,4.590909090909091
NGC5055,28,0.11753645292056521,0.11754221761997012,-0.11649499341173593,-0.10873100548668939,0.72,54.59,3.3560714285714277
NGC5371,19,0.17354159566622637,0.17808617044640654,-0.10583489841344997,-0.22023028041482157,1.45,46.24,4.105263157894737
NGC5585,24,0.17385834978096246,0.17568893069732475,-0.10172339388585792,0.03928403224748434,0.09,10.96,2.223333333333333
NGC5907,19,0.0841662740195239,0.055098057978072844,0.0072837461275072025,-0.03640972741837571,5.03,50.33,3.5789473684210527
NGC5985,33,0.3054049171569296,0.26756105633941984,0.28832083078006177,0.19741902659184776,3.54,34.72,6.094242424242425
NGC6015,44,0.11117103332365424,0.12946937531704747,0.08007056520045747,0.08071223776219902,0.34,29.23,3.9318181818181817
NGC6195,23,0.12364728243358383,0.10760387428917592,-0.11498113477392173,-0.1384382842768175,1.33,36.43,7.274347826086957
NGC6503,31,0.07249888703656807,0.05420055983274806,0.04779658294446164,0.08497209745569304,0.76,23.5,2.3548387096774195
NGC6674,15,0.1261360715254176,0.08214138494384955,0.10826931615214701,0.10598763897950496,2.5,72.41,8.266666666666667
NGC6789,4,0.3895854018308549,0.3159795637731812,0.35690932806891795,0.5020305791744587,0.1,0.71,5.3149999999999995
NGC6946,58,0.0896359090075854,0.07203959789936838,-0.0831693606116379,-0.09256925858478726,0.19,20.4,6.241379310344827
NGC7331,36,0.09804264249274548,0.08757981219088307,-0.08633593090910359,-0.03659801898184237,2.67,36.31,5.138888888888889
NGC7793,46,0.18538296587543052,0.14971288970938834,-0.04135466764688734,0.00603441776310523,0.11,7.87,6.9347826086956506
NGC7814,18,0.10524204894337316,0.1100288938002806,0.07594273663378276,0.1367926939063042,0.63,19.53,5.610555555555554
PGC51017,6,0.6623991909540958,0.7034914919932981,-0.5772020463354703,-0.8070693714423146,0.33,3.63,2.256666666666667
UGC00128,22,0.1386447629375734,0.12205343000393168,0.10357978564472306,0.08123670947923624,1.25,53.75,2.6354545454545457
UGC00191,9,0.12435549865651069,0.06219116578288717,0.07036626165760344,-0.013298173039108734,0.62,9.98,2.2966666666666664
UGC00634,4,0.08164438442542941,0.08827803000131597,0.06686097491446599,0.09901402517275104,4.51,18.01,2.2725
UGC00731,12,0.339703437495753,0.3607025564846382,0.21001308628006135,-0.0782044521386274,0.91,10.91,2.7966666666666664
UGC00891,5,0.1704878739909504,0.0731247918680982,-0.07342866374032672,0.07018228324117978,1.48,7.39,1.2840000000000003
UGC01230,11,0.20400259008403546,0.21110357901342275,0.023139335068032618,-0.08659275596840016,0.78,36.54,11.372727272727273
UGC01281,23,0.08991449042974624,0.09777728354980994,0.013184890655322277,0.08381164178545708,0.38,4.99,4.972608695652174
UGC02023,5,0.36128467205840453,0.36128467205840453,-0.3204878860728567,-0.13405756355763881,0.76,3.78,8.69
UGC02259,8,0.26943439551068704,0.22616348313280019,0.24286674478824713,0.15148615161698695,1.02,8.14,2.2125
UGC02455,8,0.7930754897197224,0.7930754897197224,-0.7661829289201723,-0.5348656427747628,0.5,4.03,3.64
UGC02487,17,0.2090075236803791,0.1881462661038512,0.20690399771256593,0.18827739310511002,9.93,80.38,6.98235294117647
UGC02885,19,0.06662315534970306,0.06662315534970308,0.04685592336981314,0.0463394047425374,1.7,74.07,10.0
UGC02916,43,0.13928911042196776,0.10213845276192007,-0.06831440677751897,-0.07903890648018923,0.37,38.0,8.183488372093024
UGC02953,115,0.1617524164893617,0.11392277274689516,0.09375724615104389,0.12473716099245784,0.09,62.39,6.850608695652174
UGC03205,48,0.11600949975788537,0.0694206913286967,0.0873983245850471,0.055565320187085834,0.28,40.04,7.545208333333331
UGC03546,30,0.12128967770497476,0.025647876325041303,-0.09231153155057206,-0.013641309145308273,0.63,29.23,15.526666666666666
UGC03580,47,0.2802959298721784,0.1981222408564065,-0.20766259766943554,-0.02826773160231698,0.11,27.06,5.185957446808511
UGC04278,25,0.1763095258367737,0.18572983766331175,0.07950534608840372,0.18670504211272973,0.14,6.69,6.0451999999999995
UGC04305,22,0.5953640383387954,0.6278219045683827,-0.5497997445393156,-0.6880142934317922,0.25,5.52,3.5599999999999996
UGC04325,8,0.284250584123116,0.2838908711497529,0.2562203871112382,0.13049836902351228,0.7,5.59,3.0525
UGC04483,8,0.2192590411744578,0.19544436958451306,-0.20392298105308182,-0.16292491567546746,0.08,1.21,1.7975
UGC04499,9,0.1374451341484661,0.10928411360789199,-0.09614671949256214,-0.08344845963530255,0.91,8.18,2.948888888888889
UGC05005,11,0.2182228787554866,0.2351139689560879,-0.1550471144742365,-0.027542750979401037,0.78,28.61,12.873636363636365
UGC05253,73,0.08048599481555264,0.03505115866955274,0.013041418122342219,0.02503340474406252,0.13,53.29,5.951232876712327
UGC05414,6,0.1643889502905719,0.16392685057802467,-0.1495228451810202,-0.08348358268568498,0.68,4.11,2.4516666666666667
UGC05716,12,0.1132345818056046,0.12126741259136126,0.09070286172402825,0.009280228312582193,1.03,12.37,1.2566666666666666
UGC05721,23,0.28472242487093286,0.2847635153143571,0.2667420926878852,0.2668514201556137,0.09,6.74,5.344782608695649
UGC05750,11,0.3786440920012937,0.46398973116037534,-0.25246480764376433,-0.11062891070495828,0.31,22.85,8.536363636363637
UGC05764,10,0.32946836418208936,0.31199299874275743,0.2827443656665817,0.11462869859479019,0.36,3.62,1.302
UGC05829,11,0.13851184878824246,0.13851184878824246,0.011351142138111244,-0.12625461666125712,0.63,6.91,5.0600000000000005
UGC05918,8,0.1424106798237582,0.1424106798237582,0.09035337421005707,-0.011499489414852857,0.56,4.46,3.93
UGC05986,15,0.18359291588956494,0.18273875378608326,0.14615718051179008,0.2033457306559685,0.63,9.41,3.267333333333333
UGC05999,5,0.13067099279971697,0.13067099279971697,-0.054779145530043684,-0.04613977586248776,3.48,16.22,5.0
UGC06399,9,0.1036276319988147,0.10136625745494557,0.059400490510997016,0.08030120019718485,0.87,7.85,4.966666666666666
UGC06446,17,0.19447788980183073,0.2068916878690741,0.16208714810990607,0.043548618225673096,0.58,10.22,5.000000000000001
UGC06614,13,0.14367245189609174,0.1615288845284665,-0.11529554818454685,-0.016737568215504865,3.23,64.59,14.099999999999998
UGC06628,7,0.5345331898609412,0.5345331898609412,-0.5099461545923993,-0.669809105389946,1.1,7.69,8.269999999999998
UGC06667,9,0.4756139409991908,0.47960935798021065,0.43954784243870587,0.25939340228331753,0.87,7.85,3.4111111111111105
UGC06786,45,0.17566889846570322,0.1972942880069541,0.15629085024554296,0.22286215175364232,0.16,34.05,7.273555555555557
UGC06787,71,0.14605426074516417,0.16242555336971568,0.07978302174179501,0.20480157420359024,0.12,37.19,6.790000000000001
UGC06818,8,0.3083379127269497,0.31706827469129834,-0.19734453046542016,0.03318127728146156,0.87,6.98,5.15625
UGC06917,11,0.07149015222180666,0.07272213666633957,0.052493382455642806,0.04059826558127363,1.74,10.47,4.163636363636363
UGC06923,6,0.14984217272498349,0.1163217033139723,-0.11087603171917922,-0.05827615976109604,0.93,5.16,5.375
UGC06930,10,0.07647918294699246,0.0690531709733815,-0.022560384428810205,-0.07357584280249159,1.74,16.61,6.45
UGC06973,9,0.21273154040416806,0.24093673513240674,-0.15554377913886966,-0.013194254379289866,1.74,7.85,5.688888888888889
UGC06983,17,0.12284433230243166,0.13587805813943715,0.09041855280480565,0.02413485190768126,1.74,15.68,6.094117647058822
UGC07089,12,0.20752044627651137,0.22505252194381345,-0.19434959939811922,-0.13032260909756707,0.87,9.16,5.191666666666666
UGC07125,13,0.33830959351175816,0.3178190994654383,-0.33054555320754075,-0.39146394216124636,1.44,18.68,2.616153846153846
UGC07151,11,0.08639079350186875,0.08937049331455574,-0.03763130260603377,-0.06720711747376398,0.5,5.5,2.6045454545454545
UGC07232,4,0.14233192192992616,0.14233192192992616,-0.032761514878106135,0.09409779132426067,0.21,0.82,3.3
UGC07261,7,0.09810556152515815,0.09810556152515813,0.04743540243398007,0.006053364035740615,0.95,6.67,5.660000000000001
UGC07323,10,0.14647758912475772,0.1464775891247577,-0.1351357998211396,-0.08040694262893118,0.58,5.82,3.87
UGC07399,10,0.3972977795872794,0.39974842434974517,0.3942305188509084,0.40202137082927664,0.61,6.13,3.379
UGC07524,31,0.09519573810017101,0.1039201750501966,-0.0011007845248884288,-0.06536265605449616,0.35,10.69,3.490322580645162
UGC07559,7,0.3422881642697357,0.34228816426973563,-0.32191166282069217,-0.23586160831545877,0.36,2.53,3.23
UGC07577,9,0.6544671323629726,0.6544671323629727,-0.6345427699750499,-0.5871414882453834,0.19,1.69,3.17
UGC07603,12,0.18077253810120997,0.18077253810120997,0.11855066277020082,0.2228889394883879,0.34,4.11,2.89
UGC07608,8,0.24649497063019724,0.24649497063019726,0.18157248291510278,0.21551194970897414,0.6,4.78,6.6899999999999995
UGC07690,7,0.07725012297612559,0.07725012297612559,-0.03846550367783764,-0.10371800153332449,0.59,4.13,4.31
UGC07866,7,0.19999720479076938,0.19999720479076938,-0.19513128730198812,-0.21335365679647675,0.33,2.32,4.07
UGC08286,17,0.22325507669815078,0.21551177792745255,0.2075546164236015,0.17210989243063698,0.47,8.04,2.216470588235294
UGC08490,30,0.18648077495846307,0.1864807749584631,0.1847861197434177,0.17563601629016992,0.34,10.15,3.6899999999999986
UGC08550,11,0.12733520797843623,0.12492351425415113,0.1146810647519207,0.10127176637435514,0.49,5.36,2.1236363636363635
UGC08699,41,0.0834296426103396,0.066313225398259,0.04331070587710176,0.07153589607666215,0.22,25.7,7.649512195121949
UGC08837,8,0.43966010562513924,0.4859017650348513,-0.39713207086872127,-0.21502996813581765,0.52,4.2,2.53875
UGC09037,22,0.2619463846432895,0.27858284235300873,-0.23641112143263154,-0.18092088435338038,2.43,27.96,7.230909090909091
UGC09133,68,0.0762746430844621,0.039891733268450226,0.004885213229466841,-0.022092715041131243,0.32,108.31,5.943823529411765
UGC09992,5,0.3078874788247855,0.3078874788247855,-0.2810832341024226,-0.4027086978297685,0.78,3.89,5.66
UGC10310,7,0.08725325841069166,0.08725325841069166,-0.0022378105259810077,-0.0993251372033368,1.1,7.74,5.06
UGC11455,36,0.14196092541106067,0.20519604317064136,-0.06123895742954915,-0.028053098839149467,0.62,41.93,7.7555555555555555
UGC11557,12,0.7431151375673428,0.7182947141363485,-0.6040787203825251,-0.35763864335701157,0.33,10.56,7.875000000000001
UGC11820,10,0.12847452577308233,0.079039462847426,0.03886365745393279,-0.06288730140867503,0.26,15.82,2.9379999999999997
UGC11914,65,0.1267787150388159,0.13288487565751958,0.11999645084578407,0.12269982598333935,0.28,9.83,9.740153846153849
UGC12506,31,0.27880908749995903,0.21939654351971366,0.20146762366731,0.0673664703260039,0.82,49.99,14.44838709677419
UGC12632,15,0.1052568716207706,0.10543951784784678,0.0485761511506591,-0.07054854024451106,0.71,10.66,3.560666666666667
UGC12732,16,0.12403554068381002,0.1170290066520965,0.09518183536445901,0.0038524610579385734,0.96,15.4,3.6268749999999996
UGCA281,7,0.08742791144948167,0.09661612633905749,-0.0788150291427955,-0.06682109392025491,0.09,1.08,1.78
UGCA442,8,0.10554847181784024,0.1578731375017661,0.03316988334138195,0.14316871028721304,0.42,6.33,2.00375
UGCA444,36,0.1656371833041211,0.20408532222859105,-0.02027408362038151,-0.023221457534481977,0.12,2.62,3.9086111111111115
