galaxy_name,n_points,rms_log_tpg,weighted_rms_log_tpg,mean_log_residual_tpg,outer_mean_log_residual_tpg,min_radius_kpc,max_radius_kpc,mean_err_vobs_kms
CamB,9,0.9635853844661112,0.963585384466111,-0.9140350019815432,-0.5642861602078854,0.16,1.79,1.5
D512-2,4,0.07524157181611366,0.07232580361258854,-0.06946570844989203,-0.0646841355745586,0.96,3.83,3.8975
D564-8,6,0.24402573806685707,0.2742242317602256,-0.17344935767942304,-0.009882356835127688,0.51,3.07,1.75
D631-7,16,0.3554563648637238,0.4045916554684637,-0.14815809607643282,0.15724865888098807,0.45,7.19,2.440625
DDO064,14,0.2616659175740476,0.2740712312615788,0.07133729303920373,-0.030806699553097765,0.1,2.98,5.077857142857143
DDO154,12,0.13881204053049753,0.06286329585081216,-0.01560923744991258,0.08785907462174486,0.49,5.92,0.6250000000000001
DDO161,31,0.29440602594350573,0.20182229927312656,-0.26915428575608746,-0.15022018405359977,0.6,13.37,2.346774193548387
DDO168,10,0.22766009375229873,0.2214467278649657,-0.14410295489756547,-0.0005278181466157016,0.41,4.12,1.94
DDO170,8,0.1376972272667539,0.12168590616887877,-0.12780965099933939,-0.1343004319612559,1.87,12.33,1.3875
ESO079-G014,15,0.11677665000070281,0.08627303855945014,0.02390324521074003,0.06556490519751956,0.41,16.67,5.7186666666666675
ESO116-G012,15,0.11848399417990181,0.12713161761449251,0.08740041628760321,0.14812480821478619,0.25,9.86,3.134666666666667
ESO444-G084,7,0.2899819227378441,0.27736252283796364,0.27160053859773575,0.3657404977946371,0.26,4.44,3.2157142857142853
ESO563-G021,30,0.29404072405040915,0.26205558332904855,0.07931689655380693,0.1691008384002877,0.45,42.41,9.091333333333333
F561-1,6,0.488746163787999,0.4772149715026693,-0.4775076717463418,-0.5805685633323938,1.61,9.66,5.833333333333333
F563-1,17,0.33588694930794916,0.3289037221972675,0.280024244044803,0.2283491837945635,1.07,20.1,13.528235294117646
F563-V1,6,0.6406909381284798,0.6406909381284797,-0.6321386445593212,-0.7601884627281595,1.31,7.87,5.0
F563-V2,10,0.3468670535405103,0.3386014622434285,0.31290064050942884,0.21231717509763548,0.28,10.47,18.232
F565-V2,7,0.1922932118237059,0.20127731498960874,0.15477926625365873,0.19357304641535242,1.26,8.8,7.428571428571429
F567-2,5,0.25151276019806146,0.19439085097257774,-0.20507976517612686,-0.3463693524419674,1.92,9.59,7.2
F568-1,12,0.379268917032072,0.34913462423853975,0.3265305812504239,0.25908805285257214,0.44,13.23,12.481666666666664
F568-3,18,0.1957182299192003,0.21442325972076612,0.007471646643613226,0.02608817794634288,0.64,17.98,8.803888888888888
F568-V1,15,0.3571766142350882,0.4320966081190536,0.3269937385999279,0.2456025907982447,0.39,17.63,16.28
F571-8,13,0.4374703411026375,0.40854628331446974,-0.11288148135131275,0.2938199193684111,0.22,15.55,5.123076923076923
F571-V1,7,0.08353629505645672,0.06132415407464039,-0.01269616188122388,0.019562065809431935,1.95,13.59,7.285714285714286
F574-1,14,0.16372322173824863,0.16081388155303142,0.10266152020523077,0.07306871616619703,0.47,12.6,4.6
F574-2,5,0.7521122855603206,0.7501572949636861,-0.7474485972222131,-0.7388427380126772,2.17,10.83,8.8
F579-V1,14,0.28315747906867766,0.306031762148689,0.21388441598228966,0.032593176169532286,0.42,15.16,11.82142857142857
F583-1,25,0.306995311346817,0.28715074110180566,0.14846811270888746,0.1615522207418834,0.26,16.26,7.5164
F583-4,12,0.04951305483194998,0.046158523632027236,-0.012436245311151698,-0.0064950883806239035,0.22,7.29,4.949999999999999
IC2574,34,0.2212852604104018,0.37672872068676655,-0.18630196401907664,-0.10360345627546562,0.85,10.23,3.2411764705882353
IC4202,32,0.2694954395023193,0.33251321051372407,-0.04695038113002626,0.012638493352612757,0.77,25.9,7.367499999999997
KK98-251,15,0.3670923867902101,0.3670923867902101,-0.35319641718566,-0.23994882478886775,0.25,3.13,2.0
NGC0024,29,0.2894402519439305,0.2748288191408677,0.26572560487371366,0.26604226837025247,0.21,11.27,7.6162068965517244
NGC0055,21,0.204516651144834,0.22264151545611444,-0.18868182414791224,-0.14700864179111753,1.23,13.5,3.8619047619047624
NGC0100,21,0.2128607455600286,0.17606498404621476,-0.052314318382513755,0.11739379550573951,0.23,9.62,5.564285714285715
NGC0247,26,0.06641218963491793,0.09048366396690698,0.02813996438612904,-0.002956065889610976,1.08,14.54,5.003846153846155
NGC0289,28,0.07849572787700726,0.0702416245432141,-0.045500237294140086,-0.07425827658023725,1.5,71.12,11.590000000000003
NGC0300,25,0.12178557069960357,0.12240301246093983,0.0939378508682825,0.1411304194487859,0.91,11.8,6.4639999999999995
NGC0801,13,0.1408128804442707,0.1535805061297816,-0.08465940603010062,-0.17407443093346248,1.17,59.82,5.2846153846153845
NGC0891,18,0.1259442118714204,0.08087568918061452,-0.09347531570220223,-0.05008617779939154,0.92,17.11,4.495
NGC1003,36,0.12113411141685551,0.09862414944349916,0.024974111717001073,0.14932873924545975,1.25,30.24,2.897222222222222
NGC1090,24,0.1854122935734614,0.11134029530038742,-0.11051399461321937,-0.09530886071992499,0.35,30.09,4.5516666666666685
NGC1705,14,0.3544171253297385,0.3305618896523113,0.35011195491722447,0.39182245883134537,0.22,6.0,5.7492857142857146
NGC2366,26,0.2508787810858514,0.24899858919782095,-0.21134207529692392,-0.18171844212426957,0.12,6.06,2.607307692307693
NGC2403,73,0.08492742247183999,0.08070368767344602,0.06321035124227906,0.11238468328079049,0.16,20.87,2.4208219178082198
NGC2683,11,0.06034959878224283,0.05008492149050136,-0.01913306495512685,-0.06468317885481123,2.89,34.62,9.0
NGC2841,50,0.21698421991779743,0.2058237642701795,0.2154824346997251,0.21082710133836716,3.44,63.64,7.670200000000003
NGC2903,34,0.2551524631611705,0.07213575156193702,-0.06377465204455443,0.033443139042793966,0.32,24.96,4.029411764705882
NGC2915,30,0.44092390599176534,0.42575537478470643,0.27527781688707265,0.3774115856001438,0.34,10.04,8.064333333333334
NGC2955,24,0.078789970542943,0.07757914538811893,-0.04795974116724788,-0.06318080707879575,0.75,35.43,8.713749999999997
NGC2976,27,0.23911120285473964,0.2168690168482697,-0.14955635048991006,-0.02873247288958129,0.11,2.27,3.5051851851851854
