LowLatitudeGalaxy,MatchedHighLatitudeGalaxy,MatchDistance,LowClass,HighClass,LowAbsGalacticLatitudeDeg,HighAbsGalacticLatitudeDeg,Low_rms_log_tpg,High_rms_log_tpg,LowMinusHigh_rms_log_tpg,Low_weighted_rms_log_tpg,High_weighted_rms_log_tpg,LowMinusHigh_weighted_rms_log_tpg,Low_mean_log_residual_tpg,High_mean_log_residual_tpg,LowMinusHigh_mean_log_residual_tpg,Low_outer_mean_log_residual_tpg,High_outer_mean_log_residual_tpg,LowMinusHigh_outer_mean_log_residual_tpg
UGC03205,NGC5985,0.595119558,B,B,8.206377,46.829450,0.116009499758,0.305404917157,-0.189395417399,0.0694206913287,0.267561056339,-0.198140365011,0.087398324585,0.28832083078,-0.200922506195,0.0555653201871,0.197419026592,-0.141853706405
NGC6946,NGC2403,0.667217056,B,A,11.672188,29.185838,0.0896359090076,0.0849274224718,0.00470848653575,0.0720395978994,0.0807036876734,-0.00866408977408,-0.0831693606116,0.0632103512423,-0.146379711854,-0.0925692585848,0.112384683281,-0.204953941866
UGC11557,UGC05716,0.231546195,B,A,12.814719,58.711138,0.743115137567,0.113234581806,0.629880555762,0.718294714136,0.121267412591,0.597027301545,-0.604078720383,0.090702861724,-0.694781582107,-0.357638643357,0.00928022831258,-0.36691887167
UGC00731,UGC07089,0.208572036,C,B,13.149452,71.522118,0.339703437496,0.207520446277,0.132182991219,0.360702556485,0.225052521944,0.135650034541,0.21001308628,-0.194349599398,0.404362685678,-0.0782044521386,-0.130322609098,0.0521181569589
NGC6674,UGC06614,0.610544515,B,B,13.919223,70.563715,0.126136071525,0.143672451896,-0.0175363803707,0.0821413849438,0.161528884528,-0.0793874995846,0.108269316152,-0.115295548185,0.223564864337,0.10598763898,-0.0167375682155,0.122725207195
UGC02885,UGC00128,0.411455815,B,A,14.050142,26.258432,0.0666231553497,0.138644762938,-0.0720216075879,0.0666231553497,0.122053430004,-0.0554302746542,0.0468559233698,0.103579785645,-0.0567238622749,0.0463394047425,0.0812367094792,-0.0348973047367
UGC02916,UGC12506,0.732397054,C,B,14.194665,41.380110,0.139289110422,0.2788090875,-0.139519977078,0.102138452762,0.21939654352,-0.117258090758,-0.0683144067775,0.201467623667,-0.269782030445,-0.0790389064802,0.067366470326,-0.146405376806
ESO563-G021,NGC2955,0.49427432,B,B,14.397417,48.942366,0.29404072405,0.0787899705429,0.215250753507,0.262055583329,0.0775791453881,0.184476437941,0.0793168965538,-0.0479597411672,0.127276637721,0.1691008384,-0.0631808070788,0.232281645479
NGC0891,NGC7814,0.48863662,C,B,17.415249,45.174603,0.125944211871,0.105242048943,0.020702162928,0.0808756891806,0.1100288938,-0.0291532046197,-0.0934753157022,0.0759427366338,-0.169418052336,-0.0500861777994,0.136792693906,-0.186878871706
NGC1003,NGC2903,0.256450313,B,B,17.545110,44.540246,0.121134111417,0.255152463161,-0.134018351744,0.0986241494435,0.0721357515619,0.0264883978816,0.024974111717,-0.0637746520446,0.0887487637616,0.149328739245,0.0334431390428,0.115885600203
NGC2915,IC2574,0.19811802,C,C,18.357173,43.607249,0.440923905992,0.22128526041,0.219638645581,0.425755374785,0.376728720687,0.0490266540979,0.275277816887,-0.186301964019,0.461579780906,0.3774115856,-0.103603456275,0.481015041876
UGC12632,NGC3877,0.582774054,C,B,19.311054,65.956443,0.105256871621,0.253876139854,-0.148619268233,0.105439517848,0.185381108137,-0.0799415902895,0.0485761511507,-0.112727522302,0.161303673453,-0.0705485402445,-0.132193992259,0.0616454520144
UGC02259,UGC04499,0.200347157,B,C,19.796208,37.195510,0.269434395511,0.137445134148,0.131989261362,0.226163483133,0.109284113608,0.116879369525,0.242866744788,-0.0961467194926,0.339013464281,0.151486151617,-0.0834484596353,0.234934611252
NGC7331,NGC3198,0.337501127,A,A,20.724275,54.828720,0.0980426424927,0.156224718271,-0.0581820757779,0.0875798121909,0.0225778839717,0.0650019282192,-0.0863359309091,-0.0506591441651,-0.035676786744,-0.0365980189818,-0.00557623120959,-0.0310217877722
NGC6789,UGCA281,1.1207694,B,B,21.517771,68.082468,0.389585401831,0.0874279114495,0.302157490381,0.315979563773,0.0966161263391,0.219363437434,0.356909328069,-0.0788150291428,0.435724357212,0.502030579174,-0.0668210939203,0.568851673095
NGC0801,NGC2998,0.375166116,B,B,22.456867,49.810212,0.140812880444,0.28234927493,-0.141536394486,0.15358050613,0.0658968601785,0.0876836459513,-0.0846594060301,0.137307007876,-0.221966413906,-0.174074430933,-0.0389796175861,-0.135094813347
UGC11455,IC4202,0.606764826,B,B,22.844922,85.455510,0.141960925411,0.269495439502,-0.127534514091,0.205196043171,0.332513210514,-0.127317167343,-0.0612389574295,-0.04695038113,-0.0142885762995,-0.0280530988391,0.0126384933526,-0.0406915921918
NGC3109,NGC0300,0.755171531,C,C,23.070239,79.418784,0.175872341713,0.1217855707,0.0540867710133,0.127671256927,0.122403012461,0.0052682444662,0.128416550507,0.0939378508683,0.0344786996383,0.243232033999,0.141130419449,0.102101614551
