GalaxyName,Class,LabelConfidence,HecatePGC,HecateObjectName,HecateDistanceMpc,RA_deg,DEC_deg,GalacticLongitudeDeg,GalacticLatitudeDeg,AbsGalacticLatitudeDeg,low_latitude_screen_24deg,RmsLogTPG,WeightedRmsLogTPG,MeanLogResidualTPG,OuterMeanLogResidualTPG
UGC03205,B,Medium,16360,UGC03205,54.37,74.061755,30.052183,342.903037,-8.206377,8.206377,true,0.11600949975788537,0.0694206913286967,0.0873983245850471,0.055565320187085834
NGC6946,B,Medium,65001,NGC6946,5.516,308.719166,60.153517,60.144887,11.672188,11.672188,true,0.0896359090075854,0.07203959789936838,-0.0831693606116379,-0.09256925858478726
UGC11557,B,Medium,64616,UGC11557,23.66,306.002952,60.194782,60.883601,12.814719,12.814719,true,0.7431151375673428,0.7182947141363485,-0.6040787203825251,-0.35763864335701157
UGC00731,C,Medium,4202,UGC00731,13.03,17.683409,49.602055,29.723502,-13.149452,13.149452,true,0.339703437495753,0.3607025564846382,0.21001308628006135,-0.0782044521386274
NGC6674,B,Medium,62178,NGC6674,54.11,279.641058,25.375064,101.271460,13.919223,13.919223,true,0.1261360715254176,0.08214138494384955,0.10826931615214701,0.10598763897950496
UGC02885,B,Low,14030,UGC02885,71.12,58.262674,35.590229,356.283096,-14.050142,14.050142,true,0.06662315534970306,0.06662315534970308,0.04685592336981314,0.0463394047425374
UGC02916,C,High,14341,UGC02916,66.11,60.640959,71.705917,19.057928,14.194665,14.194665,true,0.13928911042196776,0.10213845276192007,-0.06831440677751897,-0.07903890648018923
ESO563-G021,B,Low,24685,ESO563-021,79.44,131.820818,-20.035629,270.996728,14.397417,14.397417,true,0.29404072405040915,0.26205558332904855,0.07931689655380693,0.1691008384002877
NGC0891,C,Medium,9031,NGC0891,9.111,35.639511,42.347634,15.479606,-17.415249,17.415249,true,0.1259442118714204,0.08087568918061452,-0.09347531570220223,-0.05008617779939154
NGC1003,B,Low,10052,NGC1003,10.76,39.819598,40.872496,11.859346,-17.545110,17.545110,true,0.12113411141685551,0.09862414944349916,0.024974111717001073,0.14932873924545975
NGC2915,C,Medium,26761,NGC2915,4.03,141.549212,-76.626480,223.897427,-18.357173,18.357173,true,0.44092390599176534,0.42575537478470643,0.27527781688707265,0.3774115856001438
UGC12632,C,High,71596,UGC12632,9.204,352.494600,40.990398,49.092790,-19.311054,19.311054,true,0.1052568716207706,0.10543951784784678,0.0485761511506591,-0.07054854024451106
UGC02259,B,Low,10586,UGC02259,9.954,41.980791,37.538417,8.718768,-19.796208,19.796208,true,0.26943439551068704,0.22616348313280019,0.24286674478824713,0.15148615161698695
NGC7331,A,Medium,69327,NGC7331,14.4,339.267279,34.415619,62.141728,-20.724275,20.724275,true,0.09804264249274548,0.08757981219088307,-0.08633593090910359,-0.03659801898184237
NGC6789,B,Medium,63000,NGC6789,3.267,289.173316,63.972190,60.889695,21.517771,21.517771,true,0.3895854018308549,0.3159795637731812,0.35690932806891795,0.5020305791744587
NGC0801,B,Low,7847,NGC0801,55.53,30.937284,38.258868,17.644924,-22.456867,22.456867,true,0.1408128804442707,0.1535805061297816,-0.08465940603010062,-0.17407443093346248
UGC11455,B,Low,63286,UGC11455,85.75,292.484590,72.112891,52.115383,22.844922,22.844922,true,0.14196092541106067,0.20519604317064136,-0.06123895742954915,-0.028053098839149467
